dataset,model,R2,MAE,RMSE,n_samples,R2_mean,R2_std,R2_ci_lower,R2_ci_upper,MAE_mean,MAE_std,MAE_ci_lower,MAE_ci_upper,RMSE_mean,RMSE_std,RMSE_ci_lower,RMSE_ci_upper
era5_daily,xgb,0.8998336442316109,0.39251614068455115,0.5902603873646196,102982,0.8998276909983365,0.0009617481678814154,0.8979671736456851,0.9017136478495843,0.39251866578344285,0.0013607411193922263,0.38980627498110126,0.3954420215719273,0.5902199687585291,0.0027011647952515116,0.5851882296043096,0.5953974262618492
biotoxin,lstm,0.07836647626948123,16.721960787538396,19.653511065108685,5046,0.07790340975807157,0.006228923757796741,0.06579823258883848,0.08940099426495056,16.72754627479093,0.1494895722762981,16.427844854646672,17.038631981509628,19.658154210045215,0.18961636854653666,19.290172653986307,20.050559932219834
biotoxin,rf,9.545293028156987e-05,18.04802716904049,20.484041093157302,5076,-9.986277522936116e-05,0.0004261011173340415,-0.0009790807806401675,0.0006341795531872724,18.052671214399712,0.1348055694943434,17.787745927588233,18.339032282591628,20.48921553411478,0.17738439895318373,20.149203845954684,20.870697132777345
biotoxin,svr,-0.4838914802518137,17.606608880442046,24.953842946025866,5076,-0.4843098249757003,0.022574924083052346,-0.5266647390982945,-0.4399789012261877,17.61340725758249,0.24997769366207725,17.128563079629064,18.0880787958441,24.959646049385036,0.1994564146782216,24.576359220643837,25.350291688646557
biotoxin,transformer,-0.00010369419469546948,18.015593015715382,20.47309640992331,5046,-0.00028538812928678703,0.0003829002545878383,-0.0013577988469540667,-4.178020299450139e-07,18.01724937782959,0.14246518729071417,17.730859388919036,18.30713927663681,20.47474845561969,0.18297965078636277,20.127135136491418,20.851210042557614
biotoxin,xgb,9.902290440944039e-05,18.049111655810197,20.484004525885844,5076,-9.625729004241124e-05,0.00038685882850620544,-0.0009307588305450753,0.0005390957350285775,18.053751809089455,0.13475808836368355,17.789206527965177,18.339746326743985,20.489179396110544,0.17745764053927884,20.150050244428616,20.871079742977585
hydrographic,lstm,0.6649981171830466,0.12529454979097113,0.1910821509699681,4623,0.6653719448264095,0.011382594383860932,0.6424775028319584,0.6879128289452116,0.12527343252604337,0.0021224818147196423,0.12113482130546806,0.12956795090270817,0.19099481427709408,0.003652664545353033,0.183751098366036,0.1981057541072563
hydrographic,rf,0.5850146741833109,0.15932780612880584,0.21317046607351012,4653,0.5847964974767776,0.008247380982792332,0.5677357298353193,0.6000102646874879,0.15930902090918936,0.002033678219389718,0.15556712418120705,0.16345873250664067,0.21319905668839512,0.0028458439434839197,0.207972647782448,0.2187802161151211
hydrographic,svr,0.09898585190665332,0.23974484066412474,0.3141061719052942,4653,0.09888281529485204,0.0078079281650608534,0.08332202168014463,0.11427326251081821,0.2397264971510013,0.0029165151304162834,0.2342675240613243,0.24599434080610505,0.31410355944497514,0.0037807566250480794,0.3071255205396931,0.3219759980611127
hydrographic,transformer,0.6475903035910469,0.12753203291701415,0.19598391191658024,4623,0.6482152719615457,0.012928992987456934,0.62290643741707,0.6738366603121609,0.12748963120626233,0.0022202873379290763,0.12307498955721345,0.131849286068747,0.19582338307076866,0.0039027923389654677,0.18788555000385337,0.20341463389819928
hydrographic,xgb,0.9618080245481216,0.0435930619882802,0.06466908646084607,4653,0.9617852497286276,0.0014582711387567645,0.9587804677036428,0.9645100078298832,0.043595734628245286,0.0006929984606661562,0.04222343891359867,0.044990794485633846,0.06467186810972843,0.0013802902214232783,0.06211528014321374,0.06757623947026802
phyto_long,rf,0.32103300870114815,1796.2921361830927,2336.2177421146107,82,0.304691488554109,0.0740112118681597,0.15188977532691963,0.4396634070890357,1808.3425866146101,167.00094234939445,1496.3586247888559,2161.112977460823,2344.7321432536123,211.1321200630964,1946.2756051332526,2784.9018887008283
phyto_long,svr,-0.05223397544018482,2216.308043767469,2908.3398064913417,82,-0.06354552513540926,0.049876787932975924,-0.1831188030474122,0.0012698234751878203,2223.7778573788855,214.73411940577483,1830.7255566182193,2649.46640714194,2909.889991512283,296.5320775734068,2347.8113475620544,3499.753774709171
phyto_long,xgb,0.7710026069269668,810.4632514696641,1356.76382753385,82,0.764583926452586,0.06342559828193027,0.626565390672545,0.8772523539951644,814.3721000494023,120.16940924874274,575.0377253721372,1058.7051888297299,1349.857475558974,181.7866969631798,967.2756359381211,1694.1311993495885
phyto_wide,rf,0.2248517427992408,15.620327433284475,143.43106568914135,440,-6.4125710072823825,17.87665686870077,-53.90134538405656,0.3181619328372854,15.81007693732512,6.9054550033612925,5.503655146740347,32.117134488989045,129.79281600579372,63.542609374631276,37.4225049750633,238.98696331581345
phyto_wide,svr,0.009070182868158527,9.445593677338355,162.17066068626596,440,0.09327310515937721,0.1343513455232018,0.0024902683244858283,0.4570973971011594,9.566073102810986,7.578794971304142,0.6432249836344932,25.379085000321258,132.73383609810455,95.12806154007595,6.019332897815544,280.17614490174867
phyto_wide,xgb,1.0,0.0016998521217632598,0.0029428101526052194,440,0.9989999852180481,0.03160696079090822,0.9999998807907104,1.0,0.00170239066389167,0.00011527832397820493,0.0014921853553384907,0.0019311736087215597,0.0029340394624935984,0.00024671985759355136,0.0024606639226011557,0.003415590413298655
